2015-08-25 01:14:19,871 [114] INFO  umbraco.BusinessLogic.Log - [P872/T57/D16] Log scrubbed.  Removed all items older than 2015-06-26 01:14:19
2015-08-25 11:59:34,061 [6] INFO  Umbraco.Core.CoreBootManager - [P10680/T1/D2] Umbraco 7.2.8 application starting on JOHNNY-PC
2015-08-25 11:59:34,097 [6] INFO  Umbraco.Core.PluginManager - [P10680/T1/D2] Determining hash of code files on disk
2015-08-25 11:59:34,106 [6] INFO  Umbraco.Core.PluginManager - [P10680/T1/D2] Hash determined (took 8ms)
2015-08-25 11:59:34,113 [6] INFO  Umbraco.Core.PluginManager - [P10680/T1/D2] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-08-25 11:59:34,306 [6] INFO  Umbraco.Core.PluginManager - [P10680/T1/D2] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 38 (took 192ms)
2015-08-25 11:59:34,363 [6] INFO  Umbraco.Core.PluginManager - [P10680/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-08-25 11:59:34,368 [6] INFO  Umbraco.Core.PluginManager - [P10680/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 5ms)
2015-08-25 11:59:34,369 [6] INFO  Umbraco.Core.PluginManager - [P10680/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-08-25 11:59:34,374 [6] INFO  Umbraco.Core.PluginManager - [P10680/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 5ms)
2015-08-25 11:59:34,385 [6] INFO  Umbraco.Core.PluginManager - [P10680/T1/D2] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-08-25 11:59:34,390 [6] INFO  Umbraco.Core.PluginManager - [P10680/T1/D2] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 4 (took 5ms)
2015-08-25 11:59:34,391 [6] INFO  Umbraco.Core.PluginManager - [P10680/T1/D2] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-08-25 11:59:34,397 [6] INFO  Umbraco.Core.PluginManager - [P10680/T1/D2] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 39 (took 6ms)
2015-08-25 11:59:34,424 [6] INFO  Umbraco.Core.PluginManager - [P10680/T1/D2] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-08-25 11:59:34,429 [6] INFO  Umbraco.Core.PluginManager - [P10680/T1/D2] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 5ms)
2015-08-25 11:59:34,430 [6] INFO  Umbraco.Core.PluginManager - [P10680/T1/D2] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-08-25 11:59:34,435 [6] INFO  Umbraco.Core.PluginManager - [P10680/T1/D2] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 5ms)
2015-08-25 11:59:34,856 [6] INFO  Umbraco.Core.DatabaseContext - [P10680/T1/D2] CanConnect = True
2015-08-25 11:59:34,861 [6] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - [P10680/T1/D2] Initializing Umbraco internal event handlers for cache refreshing
2015-08-25 11:59:34,873 [6] INFO  Umbraco.Web.Search.ExamineEvents - [P10680/T1/D2] Initializing Examine and binding to business logic events
2015-08-25 11:59:34,911 [6] INFO  Umbraco.Web.Search.ExamineEvents - [P10680/T1/D2] Adding examine event handlers for index providers: 3
2015-08-25 11:59:34,918 [6] INFO  Umbraco.Core.CoreBootManager - [P10680/T1/D2] Umbraco application startup complete (took 853ms)
2015-08-25 11:59:35,206 [6] INFO  Umbraco.Core.ApplicationContext - [P10680/T1/D2] ApplicationUrl: http://localhost:52058/umbraco (UmbracoModule request)
2015-08-25 11:59:35,247 [6] INFO  umbraco.content - [P10680/T1/D2] Load Xml from file...
2015-08-25 11:59:35,254 [6] INFO  umbraco.content - [P10680/T1/D2] Loaded Xml from file.
2015-08-25 11:59:35,328 [6] INFO  Umbraco.Core.PluginManager - [P10680/T1/D2] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
